BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2019-20,LAL,8,35.1,26,9.4,19.3,48.7,1.9,5.6,33.3,5.4,7,76.8,0.8,7,7.8,10.5,3.8,1.4,0.6,1.9,53.3,6,3,11.4
2018-19,LAL,55,35.2,27.4,10.1,19.9,51,2,5.9,33.9,5.1,7.6,66.5,1,7.4,8.5,8.3,3.6,1.3,0.6,1.7,52,32,8,2.1
2017-18,CLE,82,36.9,27.5,10.5,19.3,54.2,1.8,5,36.7,4.7,6.5,73.1,1.2,7.5,8.6,9.1,4.2,1.4,0.9,1.7,54.1,52,18,1.3
2016-17,CLE,74,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8,51.3,42,13,6.5
2015-16,CLE,76,35.6,25.3,9.7,18.6,52,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6,7.4,6.8,3.3,1.4,0.6,1.9,47.1,28,3,8.1
2014-15,CLE,69,36.1,25.3,9,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71,0.7,5.3,6,7.4,3.9,1.6,0.7,2,46.5,22,2,7.8
2013-14,MIA,77,37.7,27.1,10,17.6,56.7,1.5,4,37.9,5.7,7.6,75,1.1,5.9,6.9,6.3,3.5,1.6,0.3,1.6,47.2,12,1,5.3
2012-13,MIA,76,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7,75.3,1.3,6.8,8,7.3,3,1.7,0.9,1.4,52.1,36,4,9.5
2011-12,MIA,62,37.5,27.1,10,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,1.5,6.4,7.9,6.2,3.4,1.9,0.8,1.5,50.6,23,0,7.6
2010-11,MIA,79,38.8,26.7,9.6,18.8,51,1.2,3.5,33,6.4,8.4,75.9,1,6.5,7.5,7,3.6,1.6,0.6,2.1,49.2,31,4,7.8
2009-10,CLE,76,39,29.7,10.1,20.1,50.3,1.7,5.1,33.3,7.8,10.2,76.7,0.9,6.4,7.3,8.6,3.4,1.6,1,1.6,55.8,31,4,8.6
2008-09,CLE,81,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78,1.3,6.3,7.6,7.2,3,1.7,1.1,1.7,53.9,29,7,10.8
2007-8,CLE,75,40.4,30,10.6,21.9,48.4,1.5,4.8,31.5,7.3,10.3,71.2,1.8,6.1,7.9,7.2,3.4,1.8,1.1,2.2,55.6,31,7,1.8
2006-7,CLE,78,40.9,27.3,9.9,20.8,47.6,1.3,4,31.9,6.3,9,69.8,1.1,5.7,6.7,6,3.2,1.6,0.7,2.2,48.2,16,1,4.8
2005-6,CLE,79,42.5,31.4,11.1,23.1,48,1.6,4.8,33.5,7.6,10.3,73.8,0.9,6.1,7,6.6,3.3,1.6,0.8,2.3,53.6,21,5,3.5
2004-05,CLE,80,42.3,27.2,9.9,21.1,47.2,1.4,3.9,35.1,6,8,75,1.4,6,7.4,7.2,3.3,2.2,0.7,1.8,52.1,25,4,1.9
2003-04,CLE,79,39.6,20.9,7.9,18.9,41.7,0.8,2.7,29,4.4,5.8,75.4,1.3,4.2,5.5,5.9,3.5,1.6,0.7,1.9,40,12,0,-1.8
